step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
 101 ,        249384 ,             808 ,0.013524150481659598  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 102 ,        251376 ,             816 ,0.017204048458753687  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 103 ,        255544 ,             824 ,0.011566035032340863  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 104 ,        259200 ,             832 ,0.013014935223779734  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 105 ,        262152 ,             840 ,0.010206506840177609  ,                     0.875 ,                  0.875 ,0.014149516864205392  ,                       0.875 ,                    0.875 ,                        ,
 106 ,        263952 ,             848 ,0.019008629541213014  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 107 ,        266008 ,             856 ,0.015025921994425474  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 108 ,        268576 ,             864 ,0.010708479799663459  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 109 ,        274600 ,             872 ,0.010279147378398528  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 110 ,        277936 ,             880 ,0.010469609970138124  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 111 ,        280184 ,             888 ,0.015108211841423198  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 112 ,        282688 ,             896 ,0.021043286099408396  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 113 ,        285000 ,             904 ,0.016670823840344504  ,                     0.875 ,                  0.875 ,0.02496216861391832   ,                       0.625 ,                    0.625 ,                        ,
 114 ,        288208 ,             912 ,0.011504365252201791  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 115 ,        290392 ,             920 ,0.02466451240204834   ,                     0.625 ,                  0.625 ,                      ,                             ,                          ,                        ,
 116 ,        294816 ,             928 ,0.013242940952632929  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 117 ,        297256 ,             936 ,0.01553958321882868   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 118 ,        299248 ,             944 ,0.019865442817399232  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 119 ,        301432 ,             952 ,0.0121729020104805    ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 120 ,        303424 ,             960 ,0.024435001581102418  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 121 ,        304904 ,             968 ,0.01440891708754308   ,                     1.0   ,                  1.0   ,0.0093098316314909    ,                       1.0   ,                    1.0   ,                        ,
 122 ,        307280 ,             976 ,0.01718908839724923   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 123 ,        311320 ,             984 ,0.011875533549066982  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 124 ,        313824 ,             992 ,0.01672159430185884   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 125 ,        316648 ,            1000 ,0.017176188393507406  ,                     0.625 ,                  0.625 ,                      ,                             ,                          ,                        ,
 126 ,        318576 ,            1008 ,0.023070628329022135  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 127 ,        320824 ,            1016 ,0.014983245227194271  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 128 ,        323712 ,            1024 ,0.019081169380532486  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 129 ,        325448 ,            1032 ,0.017617458165150795  ,                     1.0   ,                  1.0   ,0.01813227460610265   ,                       0.75  ,                    0.75  ,                        ,
 130 ,        327952 ,            1040 ,0.010106851977901583  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 131 ,        330072 ,            1048 ,0.01656789679488487   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 132 ,        333216 ,            1056 ,0.015153599345767387  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 133 ,        336232 ,            1064 ,0.01550317538203264   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 134 ,        338224 ,            1072 ,0.01988093057546608   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 135 ,        341560 ,            1080 ,0.01319769803286444   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 136 ,        344448 ,            1088 ,0.015363174572202556  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 137 ,        345928 ,            1096 ,0.015292259564234882  ,                     1.0   ,                  1.0   ,0.014625057571313263  ,                       1.0   ,                    1.0   ,                        ,
 138 ,        347664 ,            1104 ,0.013494091958839912  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 139 ,        350296 ,            1112 ,0.014873632321812245  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 140 ,        352288 ,            1120 ,0.018861710614328182  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 141 ,        354408 ,            1128 ,0.015754287566691318  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 142 ,        356784 ,            1136 ,0.014344794423068779  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 143 ,        358584 ,            1144 ,0.018919020339261985  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 144 ,        360704 ,            1152 ,0.015693224886213608  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 145 ,        363528 ,            1160 ,0.012877927279714813  ,                     1.0   ,                  1.0   ,0.008779853625223545  ,                       0.875 ,                    0.875 ,                        ,
 146 ,        367568 ,            1168 ,0.011267171612178242  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 147 ,        370136 ,            1176 ,0.010805565551296744  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 148 ,        373088 ,            1184 ,0.01683865662407158   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 149 ,        375848 ,            1192 ,0.013706998990078155  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 150 ,        378480 ,            1200 ,0.01096604160402628   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 151 ,        381304 ,            1208 ,0.013637121755139859  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 152 ,        383744 ,            1216 ,0.015475835368837022  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 153 ,        385864 ,            1224 ,0.010542908926163191  ,                     1.0   ,                  1.0   ,0.02117358361163654   ,                       0.625 ,                    0.625 ,                        ,
 154 ,        388560 ,            1232 ,0.009453952936238966  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 155 ,        391192 ,            1240 ,0.018489555109509687  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 156 ,        392736 ,            1248 ,0.016442116565196185  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 157 ,        394856 ,            1256 ,0.01725622079026984   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 158 ,        396464 ,            1264 ,0.010499857137572781  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 159 ,        398456 ,            1272 ,0.019247914672687404  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 160 ,        402880 ,            1280 ,0.010199921320330832  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 161 ,        405128 ,            1288 ,0.015392242142917872  ,                     1.0   ,                  1.0   ,0.015517464191326907  ,                       0.75  ,                    0.75  ,                        ,
 162 ,        406992 ,            1296 ,0.019832241233630615  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 163 ,        409240 ,            1304 ,0.015314106011327017  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 164 ,        411680 ,            1312 ,0.013954291860506443  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 165 ,        415400 ,            1320 ,0.011621977657863804  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 166 ,        416816 ,            1328 ,0.015950307010071222  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 167 ,        419128 ,            1336 ,0.015943344964322106  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 168 ,        420736 ,            1344 ,0.017596763082979125  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 169 ,        423560 ,            1352 ,0.012818995180394099  ,                     0.75  ,                  0.75  ,0.015470364917546418  ,                       0.875 ,                    0.875 ,                        ,
 170 ,        426448 ,            1360 ,0.010949284754620611  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 171 ,        428760 ,            1368 ,0.009672665020878941  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 172 ,        430752 ,            1376 ,0.012232428579585933  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
 173 ,        432744 ,            1384 ,0.017768579954344454  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 174 ,        435376 ,            1392 ,0.016639512917730914  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
 175 ,        438776 ,            1400 ,0.01224111341380317   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
 176 ,        440896 ,            1408 ,0.017425451225299288  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
